regionName,sector,year,co2_int,ccost_int
Brazil,Lignite and peat,2021.0,3.510963621985869e-07,0.0
Brazil,Machinery and equipment,2021.0,3.7244032924276075e-08,0.0
Brazil,Meat,2021.0,2.205979579159702e-08,0.0
Brazil,Motor vehicles & trans equip,2021.0,1.1714254158832976e-08,0.0
Brazil,Other chemicals,2021.0,1.5628751216973898e-07,0.0
Brazil,Other food,2021.0,3.078251907168745e-08,0.0
Brazil,Other mining & quarrying,2021.0,6.0039721597858e-08,0.0
Brazil,Other non-metallic minerals,2021.0,9.47328927902381e-07,0.0
Brazil,Other services,2021.0,9.823308908054553e-09,0.0
Brazil,Paint glues detergents,2021.0,1.41265826136032e-06,0.0
Brazil,Petroleum extraction,2021.0,8.413040272466481e-09,0.0
Brazil,Pharma,2021.0,2.9319855917029835e-08,0.0
Brazil,Pipeline transport,2021.0,2.0094623643680084e-08,0.0
Brazil,Postal & courier,2021.0,2.736860323225478e-07,0.0
Brazil,Printing,2021.0,9.631810565040093e-08,0.0
Brazil,Property and real estate,2021.0,9.203572513729189e-11,0.0
Brazil,Publishing,2021.0,7.0720158735998075e-09,0.0
Brazil,Rail transport,2021.0,1.1327889674295127e-07,0.0
Brazil,Refined petroleum products,2021.0,1.0749203549274576e-07,0.0
Brazil,Rep and instal of machinery,2021.0,1.3043420250434312e-07,0.0
Brazil,Road transport,2021.0,1.2900939882486162e-06,0.0
Brazil,Rubber & plastic,2021.0,3.514776894286471e-08,0.0
Brazil,Sawmill pulp paper,2021.0,2.910362825581786e-07,0.0
Brazil,Services to transport,2021.0,8.588328044654154e-08,0.0
Brazil,Telecomm,2021.0,4.5476936074310516e-11,0.0
Brazil,Textiles & leather,2021.0,2.2237450381817972e-08,0.0
Brazil,Tobacco,2021.0,3.2513874687399274e-08,0.0
Brazil,Veg,2021.0,8.652286484053611e-08,0.0
Brazil,Waste & recycling,2021.0,6.974182183347949e-07,0.0
Brazil,Water & sewage,2021.0,1.744846860927442e-08,0.0
Brazil,Water transport,2021.0,3.373272022877953e-07,0.0
Brazil,Ws retail repair m vehicles,2021.0,8.197577748647221e-10,0.0
Bulgaria,Agriculture,2021.0,2.4268696010049142e-08,5.511388447164984e-07
Bulgaria,Air transport,2021.0,1.0301671265042382e-08,4.1775498193592644e-08
Bulgaria,Arts and recreation,2021.0,1.2017648955480146e-10,0.0
Bulgaria,Basic metals,2021.0,5.138377527235066e-08,3.1341080682434087e-06
Bulgaria,Beverage,2021.0,2.682527270400998e-08,1.5954247376520818e-06
Bulgaria,Cement lime plaster prod,2021.0,3.472850141555318e-06,3.685113534386125e-05
Bulgaria,Cereals,2021.0,2.1199667728249773e-08,1.2698937072763039e-06
Bulgaria,Coke oven products,2021.0,3.620658800132954e-05,0.0004746517557141743
Bulgaria,Comp electronics & optical,2021.0,1.6905882769076687e-09,1.0081067447715826e-07
Bulgaria,Construction,2021.0,4.5099385657133705e-08,2.574731828213605e-06
Bulgaria,Dairy,2021.0,1.6099222370038756e-08,9.717699384011385e-07
Bulgaria,Education,2021.0,2.660486686149508e-10,0.0
Bulgaria,Electric power & gas,2021.0,3.7759285169998142e-06,0.00023693589304595958
Bulgaria,Electrical equipment,2021.0,6.984066217440007e-09,4.3269455738600483e-07
Bulgaria,Fabricated metal products,2021.0,2.3649075584324702e-08,1.425066126212384e-06
Bulgaria,Fertilizers,2021.0,2.796796884834007e-07,1.6693158090478887e-05
Bulgaria,Finance & Insurance,2021.0,5.065043093601128e-11,0.0
Bulgaria,Fish,2021.0,2.573125427066998e-07,1.5668175956229384e-05
Bulgaria,Fishing,2021.0,6.813506919823293e-10,0.0
Bulgaria,Forestry,2021.0,2.1490930464021792e-07,1.2801166275545253e-05
Bulgaria,Fruit,2021.0,1.7307659601920682e-07,1.0463770808458385e-05
Bulgaria,Furniture & other manuf,2021.0,2.6500387990403997e-08,1.6142845538012404e-06
Bulgaria,Gas extraction,2021.0,4.243396266343762e-07,2.551591133627493e-05
Bulgaria,Gov security order,2021.0,2.1055033380755357e-10,0.0
Bulgaria,Hard coal,2021.0,1.7404048264146038e-06,1.7321021162727352e-06
Bulgaria,Health and social work,2021.0,2.831909094714118e-10,0.0
Bulgaria,Hospitality,2021.0,4.0877737699452426e-10,0.0
Bulgaria,IT,2021.0,1.0706383048015351e-10,0.0
Bulgaria,Lignite and peat,2021.0,5.62037437520055e-07,7.54709336991244e-07
Bulgaria,Machinery and equipment,2021.0,1.3465907974943723e-08,8.027570936159318e-07
Bulgaria,Meat,2021.0,1.688486652768324e-08,1.0158619134771753e-06
Bulgaria,Motor vehicles & trans equip,2021.0,1.4695629947773878e-08,8.736766078853952e-07
Bulgaria,Other chemicals,2021.0,5.876535381307974e-07,3.541674120916082e-05
Bulgaria,Other food,2021.0,4.9050726475483367e-08,2.951912027700956e-06
Bulgaria,Other mining & quarrying,2021.0,3.900920843704898e-08,2.3120520097271318e-06
Bulgaria,Other non-metallic minerals,2021.0,1.1796992666369571e-06,3.105825921809077e-05
Bulgaria,Other services,2021.0,5.1794964936677065e-09,2.7068640487675907e-07
Bulgaria,Paint glues detergents,2021.0,5.140132787688282e-07,3.087501602037706e-05
Bulgaria,Petroleum extraction,2021.0,1.3646762236601263e-07,8.040682513880134e-06
