Jurisdiction,Year,IPCC_cat_code,iea_code,Product,tax_rate_incl_ex_clcu,ets_price,tax_curr_code,ets_curr_code,tax_rate_incl_ex_clcu_USD,ets_price_USD,tax_rate_incl_ex_clcu_2019USD,ets_price_2019USD,tax_curr_x_rate,ets_curr_x_rate
Denmark,1989,3B6,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3B6B5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C5,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C6,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C7,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3C8,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3D,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3D1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,3D2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,4,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,4A,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,4A1,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,4A2,,,,,,,,,,,0.8333299999999999,0.8333299999999999
Denmark,1989,4A3,,,,,,,,,,,0.8333299999999999,0.8333299999999999
